split,crop_image,source_image,person_index,crop_x1,crop_y1,crop_x2,crop_y2
train,images/train/frame_000215_person_14.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,14,105,543,197,618
train,images/train/frame_000215_person_15.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,15,212,573,286,635
train,images/train/frame_000215_person_16.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,16,291,595,380,673
train,images/train/frame_000215_person_17.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,17,120,83,194,151
train,images/train/frame_000215_person_18.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,18,163,138,221,225
train,images/train/frame_000215_person_19.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,19,101,189,170,241
train,images/train/frame_000221_person_00.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,0,136,137,223,219
train,images/train/frame_000221_person_01.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,1,207,129,304,231
train,images/train/frame_000221_person_02.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,2,284,107,376,209
train,images/train/frame_000221_person_03.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,3,216,38,306,122
train,images/train/frame_000221_person_04.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,4,115,86,201,148
train,images/train/frame_000221_person_05.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,5,420,0,513,98
train,images/train/frame_000221_person_06.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,6,512,0,617,104
train,images/train/frame_000221_person_07.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,7,148,437,265,541
train,images/train/frame_000221_person_08.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,8,70,400,160,460
train,images/train/frame_000221_person_09.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,9,107,539,200,616
train,images/train/frame_000221_person_10.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,10,208,574,291,635
train,images/train/frame_000221_person_11.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,11,293,595,381,674
train,images/train/frame_000221_person_12.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,12,554,636,646,702
train,images/train/frame_000221_person_13.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,13,675,601,760,662
train,images/train/frame_000221_person_14.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,14,701,456,796,556
train,images/train/frame_000221_person_15.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,15,562,482,672,598
train,images/train/frame_000221_person_16.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,16,685,297,796,403
train,images/train/frame_000221_person_17.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,17,589,304,696,403
train,images/train/frame_000221_person_18.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,18,688,156,796,238
train,images/train/frame_000221_person_19.jpg,data/person_dataset_seed123/images/train/frame_000221.jpg,19,96,189,182,242
train,images/train/frame_000227_person_00.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,0,516,2,613,102
train,images/train/frame_000227_person_01.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,1,421,0,507,87
train,images/train/frame_000227_person_02.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,2,205,47,302,128
train,images/train/frame_000227_person_03.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,3,203,137,309,237
train,images/train/frame_000227_person_04.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,4,287,108,380,203
train,images/train/frame_000227_person_05.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,5,117,84,214,153
train,images/train/frame_000227_person_06.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,6,139,145,219,232
train,images/train/frame_000227_person_07.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,7,100,188,184,237
train,images/train/frame_000227_person_08.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,8,73,402,158,459
train,images/train/frame_000227_person_09.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,9,149,472,260,537
train,images/train/frame_000227_person_10.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,10,111,541,183,617
train,images/train/frame_000227_person_11.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,11,210,575,300,640
train,images/train/frame_000227_person_12.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,12,294,602,386,677
train,images/train/frame_000227_person_13.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,13,556,638,651,703
train,images/train/frame_000227_person_14.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,14,676,605,760,661
train,images/train/frame_000227_person_15.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,15,699,460,800,550
train,images/train/frame_000227_person_16.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,16,560,481,675,588
train,images/train/frame_000227_person_17.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,17,587,307,700,416
train,images/train/frame_000227_person_18.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,18,691,294,797,406
train,images/train/frame_000227_person_19.jpg,data/person_dataset_seed123/images/train/frame_000227.jpg,19,690,164,795,241
train,images/train/frame_000241_person_00.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,0,690,154,794,240
train,images/train/frame_000241_person_01.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,1,689,293,799,406
train,images/train/frame_000241_person_02.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,2,585,310,701,411
train,images/train/frame_000241_person_03.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,3,700,456,798,551
train,images/train/frame_000241_person_04.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,4,673,599,762,664
train,images/train/frame_000241_person_05.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,5,563,480,673,597
train,images/train/frame_000241_person_06.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,6,561,623,651,706
train,images/train/frame_000241_person_07.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,7,293,600,386,669
train,images/train/frame_000241_person_08.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,8,211,572,304,639
train,images/train/frame_000241_person_09.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,9,108,542,189,615
train,images/train/frame_000241_person_10.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,10,72,403,143,458
train,images/train/frame_000241_person_11.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,11,514,6,615,98
train,images/train/frame_000241_person_12.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,12,419,0,508,91
train,images/train/frame_000241_person_13.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,13,282,107,380,200
train,images/train/frame_000241_person_14.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,14,212,30,304,123
train,images/train/frame_000241_person_15.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,15,207,136,295,234
train,images/train/frame_000241_person_16.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,16,150,146,227,225
train,images/train/frame_000241_person_17.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,17,101,189,178,236
train,images/train/frame_000241_person_18.jpg,data/person_dataset_seed123/images/train/frame_000241.jpg,18,118,86,203,152
train,images/train/frame_000249_person_00.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,0,516,4,611,98
train,images/train/frame_000249_person_01.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,1,423,0,512,83
train,images/train/frame_000249_person_02.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,2,257,131,376,204
train,images/train/frame_000249_person_03.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,3,204,142,289,239
train,images/train/frame_000249_person_04.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,4,210,30,307,127
train,images/train/frame_000249_person_05.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,5,116,87,197,148
train,images/train/frame_000249_person_06.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,6,146,144,227,222
train,images/train/frame_000249_person_07.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,7,95,182,171,233
train,images/train/frame_000249_person_08.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,8,76,415,132,481
train,images/train/frame_000249_person_09.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,9,110,543,181,614
train,images/train/frame_000249_person_10.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,10,214,573,289,636
train,images/train/frame_000249_person_11.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,11,290,599,384,672
train,images/train/frame_000249_person_12.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,12,690,156,794,237
train,images/train/frame_000249_person_13.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,13,694,292,798,407
train,images/train/frame_000249_person_14.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,14,585,306,706,408
train,images/train/frame_000249_person_15.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,15,563,477,675,595
train,images/train/frame_000249_person_16.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,16,709,459,796,551
train,images/train/frame_000249_person_17.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,17,672,599,762,662
train,images/train/frame_000249_person_18.jpg,data/person_dataset_seed123/images/train/frame_000249.jpg,18,558,627,650,701
train,images/train/frame_000251_person_00.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,0,683,164,792,235
train,images/train/frame_000251_person_01.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,1,693,295,797,402
train,images/train/frame_000251_person_02.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,2,585,305,708,409
train,images/train/frame_000251_person_03.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,3,697,455,800,551
train,images/train/frame_000251_person_04.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,4,560,475,671,604
train,images/train/frame_000251_person_05.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,5,558,630,650,701
train,images/train/frame_000251_person_06.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,6,671,601,763,663
train,images/train/frame_000251_person_07.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,7,284,595,392,687
train,images/train/frame_000251_person_08.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,8,207,574,295,640
train,images/train/frame_000251_person_09.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,9,75,414,133,474
train,images/train/frame_000251_person_10.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,10,110,548,180,618
train,images/train/frame_000251_person_11.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,11,511,9,615,101
train,images/train/frame_000251_person_12.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,12,420,0,511,91
train,images/train/frame_000251_person_13.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,13,263,123,381,197
train,images/train/frame_000251_person_14.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,14,212,34,305,121
train,images/train/frame_000251_person_15.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,15,201,136,293,237
train,images/train/frame_000251_person_16.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,16,145,144,222,223
train,images/train/frame_000251_person_17.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,17,101,189,178,235
train,images/train/frame_000251_person_18.jpg,data/person_dataset_seed123/images/train/frame_000251.jpg,18,117,84,209,152
train,images/train/frame_000264_person_00.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,0,690,156,792,238
train,images/train/frame_000264_person_01.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,1,698,294,795,400
train,images/train/frame_000264_person_02.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,2,589,303,706,405
train,images/train/frame_000264_person_03.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,3,706,459,797,548
train,images/train/frame_000264_person_04.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,4,670,593,762,661
train,images/train/frame_000264_person_05.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,5,563,478,667,607
train,images/train/frame_000264_person_06.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,6,557,635,652,702
train,images/train/frame_000264_person_07.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,7,524,3,614,96
train,images/train/frame_000264_person_08.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,8,421,0,509,86
train,images/train/frame_000264_person_09.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,9,209,36,303,125
train,images/train/frame_000264_person_10.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,10,294,113,379,206
train,images/train/frame_000264_person_11.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,11,201,137,305,236
train,images/train/frame_000264_person_12.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,12,146,146,227,227
train,images/train/frame_000264_person_13.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,13,102,184,173,239
train,images/train/frame_000264_person_14.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,14,74,407,133,455
train,images/train/frame_000264_person_15.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,15,218,570,291,636
train,images/train/frame_000264_person_16.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,16,292,596,390,681
train,images/train/frame_000264_person_17.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,17,109,540,189,613
train,images/train/frame_000264_person_18.jpg,data/person_dataset_seed123/images/train/frame_000264.jpg,18,116,84,205,154
train,images/train/frame_000272_person_00.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,0,686,157,788,235
train,images/train/frame_000272_person_01.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,1,693,295,798,402
train,images/train/frame_000272_person_02.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,2,594,298,702,409
train,images/train/frame_000272_person_03.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,3,698,456,799,551
train,images/train/frame_000272_person_04.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,4,683,590,766,663
train,images/train/frame_000272_person_05.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,5,554,630,652,700
train,images/train/frame_000272_person_06.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,6,561,481,669,607
train,images/train/frame_000272_person_07.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,7,292,601,385,686
train,images/train/frame_000272_person_08.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,8,215,569,299,638
train,images/train/frame_000272_person_09.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,9,110,541,198,620
train,images/train/frame_000272_person_10.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,10,74,387,137,464
train,images/train/frame_000272_person_11.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,11,208,34,304,130
train,images/train/frame_000272_person_12.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,12,420,0,510,88
train,images/train/frame_000272_person_13.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,13,527,0,613,108
train,images/train/frame_000272_person_14.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,14,197,136,309,242
train,images/train/frame_000272_person_15.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,15,293,107,378,205
train,images/train/frame_000272_person_16.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,16,145,144,220,221
train,images/train/frame_000272_person_17.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,17,101,191,180,237
train,images/train/frame_000272_person_18.jpg,data/person_dataset_seed123/images/train/frame_000272.jpg,18,117,87,207,153
train,images/train/frame_000279_person_00.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,0,687,159,795,239
train,images/train/frame_000279_person_01.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,1,687,293,800,411
train,images/train/frame_000279_person_02.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,2,580,303,713,407
train,images/train/frame_000279_person_03.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,3,702,458,797,552
train,images/train/frame_000279_person_04.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,4,563,475,676,605
train,images/train/frame_000279_person_05.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,5,673,587,762,664
train,images/train/frame_000279_person_06.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,6,557,633,652,702
train,images/train/frame_000279_person_07.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,7,105,541,190,618
train,images/train/frame_000279_person_08.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,8,218,567,295,643
train,images/train/frame_000279_person_09.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,9,290,604,388,687
train,images/train/frame_000279_person_10.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,10,149,491,252,534
train,images/train/frame_000279_person_11.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,11,71,383,146,456
train,images/train/frame_000279_person_12.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,12,288,111,378,212
train,images/train/frame_000279_person_13.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,13,217,29,306,128
train,images/train/frame_000279_person_14.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,14,204,137,302,241
train,images/train/frame_000279_person_15.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,15,148,141,216,234
train,images/train/frame_000279_person_16.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,16,97,185,177,244
train,images/train/frame_000279_person_17.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,17,423,0,508,98
train,images/train/frame_000279_person_18.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,18,527,0,608,107
train,images/train/frame_000279_person_19.jpg,data/person_dataset_seed123/images/train/frame_000279.jpg,19,114,83,206,155
train,images/train/frame_000289_person_00.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,0,562,476,668,617
train,images/train/frame_000289_person_01.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,1,700,456,800,550
train,images/train/frame_000289_person_02.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,2,681,582,761,661
train,images/train/frame_000289_person_03.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,3,555,633,656,700
train,images/train/frame_000289_person_04.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,4,685,292,797,404
train,images/train/frame_000289_person_05.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,5,591,303,699,403
train,images/train/frame_000289_person_06.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,6,689,159,789,239
train,images/train/frame_000289_person_07.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,7,526,0,612,114
train,images/train/frame_000289_person_08.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,8,285,112,379,210
train,images/train/frame_000289_person_09.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,9,422,0,507,94
train,images/train/frame_000289_person_10.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,10,207,32,307,137
train,images/train/frame_000289_person_11.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,11,205,136,302,240
train,images/train/frame_000289_person_12.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,12,145,146,229,227
train,images/train/frame_000289_person_13.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,13,98,187,182,240
train,images/train/frame_000289_person_14.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,14,74,401,146,451
train,images/train/frame_000289_person_15.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,15,149,471,258,538
train,images/train/frame_000289_person_16.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,16,108,545,193,614
train,images/train/frame_000289_person_17.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,17,218,579,301,637
train,images/train/frame_000289_person_18.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,18,288,596,374,663
train,images/train/frame_000289_person_19.jpg,data/person_dataset_seed123/images/train/frame_000289.jpg,19,116,85,200,149
train,images/train/frame_000301_person_00.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,0,689,162,791,255
train,images/train/frame_000301_person_01.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,1,685,295,803,405
train,images/train/frame_000301_person_02.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,2,591,308,695,418
train,images/train/frame_000301_person_03.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,3,701,455,796,556
train,images/train/frame_000301_person_04.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,4,560,478,673,606
train,images/train/frame_000301_person_05.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,5,684,592,764,659
train,images/train/frame_000301_person_06.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,6,557,635,654,702
train,images/train/frame_000301_person_07.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,7,419,0,511,99
train,images/train/frame_000301_person_08.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,8,526,0,611,116
train,images/train/frame_000301_person_09.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,9,288,110,380,212
train,images/train/frame_000301_person_10.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,10,208,38,300,130
train,images/train/frame_000301_person_11.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,11,206,130,296,243
train,images/train/frame_000301_person_12.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,12,147,147,231,221
train,images/train/frame_000301_person_13.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,13,99,188,179,239
train,images/train/frame_000301_person_14.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,14,114,85,201,154
train,images/train/frame_000301_person_15.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,15,73,386,136,457
train,images/train/frame_000301_person_16.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,16,109,544,184,615
train,images/train/frame_000301_person_17.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,17,222,579,303,661
train,images/train/frame_000301_person_18.jpg,data/person_dataset_seed123/images/train/frame_000301.jpg,18,289,595,375,664
train,images/train/frame_000303_person_00.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,0,688,160,793,243
train,images/train/frame_000303_person_01.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,1,689,291,801,402
train,images/train/frame_000303_person_02.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,2,586,306,708,407
train,images/train/frame_000303_person_03.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,3,701,457,795,550
train,images/train/frame_000303_person_04.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,4,561,480,669,608
train,images/train/frame_000303_person_05.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,5,685,590,763,664
train,images/train/frame_000303_person_06.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,6,558,635,656,703
train,images/train/frame_000303_person_07.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,7,523,0,608,112
train,images/train/frame_000303_person_08.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,8,424,0,507,97
train,images/train/frame_000303_person_09.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,9,285,107,379,212
train,images/train/frame_000303_person_10.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,10,210,38,301,123
train,images/train/frame_000303_person_11.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,11,118,86,197,147
train,images/train/frame_000303_person_12.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,12,209,127,300,246
train,images/train/frame_000303_person_13.jpg,data/person_dataset_seed123/images/train/frame_000303.jpg,13,148,146,230,231
